name,inn
"ООО ""КИНЕТИКА""",2225085053
"ООО ""БТП""",2225096425
"АО ""БП""",2225114811
"ООО ""ДИМ СОФТ""",2225134159
"ООО ""ЛИНКССОФТ""",2225159146
"ООО ""МИР""",2225211935
"ООО ""НООСОФТ""",2225224564
"ООО ""АДЛ ПРОГРАММНЫЕ РЕШЕНИЯ""",2225226949
"ЧУ ДПО ""ФИПК""",2225995694
"ООО ""ЭФФЕКТИВ МОБАЙЛ""",2261010529
"ООО ""НЕЙРОДЕВ""",2304076968
"ООО ""АЙСИ ЭЙТ""",2304081220
"ООО ""ВЕЛЕС""",2305030194
"ООО ""КУБНЕТ""",2308017392
"ООО ""КОНСУЛЬТАНТ СЕРВИС""",2308050946
"ООО ""ИНВЕРСИЯ ЮГ""",2308125373
"ООО ""ИНФОПРОЕКТ""",2308147257
"АО ""АСП""",2308178417
"ООО ""АЙКОН-СИСТЕМС""",2308193790
"ООО ""ДЖЕТРУБИ ЭЙДЖЕНСИ""",2308221599
"ООО ""ИНКС""",2308257073
"ООО ""НОВЫЕ ТЕХНОЛОГИИ""",2308259698
"ООО ""МСЛ""",2308260559
ООО БСР,2308260904
"ООО ""ВИЛИКС""",2308266448
"ООО ""ИТ ЦЕНТР""",2308272410
"ООО ""ВТР""",2308272522
"ООО ""БИЗНЕС ИНТЕЛЛЕКТ""",2308274390
"ООО ""НПО ТН""",2308275308
"ООО ""ВЭБМЭНС""",2308282665
"ООО ""КИПКОД""",2308284863
"ООО ""А ТЕХ""",2308286860
"ООО ""ДИДЖИТАЛ РЕШЕНИЯ""",2308287127
"ООО ""ИНФОТЕХ СИСТЕМС""",2308287889
"ООО ""ИНТЕГРАТ""",2308289558
"ООО ""ГЛОБАЛЬНЫЕ ПЕРЕМЕННЫЕ""",2308289773
"ООО ""ИНТЕРНЕТ ПАРТНЕРСТВО""",2308294170
"ООО ""БОБДЕЙ СОФТ""",2309168901
"ООО ""ИНВЕСТ ЛАЙН +""",2309174503
"ООО ""МИСТЕР ЧЕК ИНТЕГРАЦИЯ""",2309175472
"ООО ""АЙ-ТИ ЭКСПЕРТ""",2309179614
"ООО ""ИНТЕРАКТИВ""",2309182688
"ООО НПВФ ""ИНТЕРСОФТ""",2310013638
"ООО ""КУБСОФТ""",2310120608
"ООО ""КОМПАНИЯ ПОРТАЛ-ЮГ""",2310151910
"ООО ""КЛАУДСОФТ""",2310159274
"ООО АГЕНТСТВО ""ИНТОП""",2310163880
"ООО ""АВТОПИЛОТ""",2310186729
"ООО ""КОРТЕКС""",2310199943
"ООО ""2ГИС.ЮГ""",2310207714
"ООО ""ИННОВАЦИЯ-ЮГ""",2310209969
"АО ""САМОКАРТ""",2310212217
"ООО ""ВАНГАРД СОФТ""",2310218988
"ООО ""АПОГЕЙ КРД""""",2310222230
"ООО ""ИНФОРМАЦИОННЫЕ ТЕХНОЛОГИИ""",2310228827
"ООО ""АЙТИ РЕШЕНИЯ""",2310228947
"ООО ""АВАЛИН""",2310230520
"ООО ""ИНСТИТУТ ТИМ""",2310230664
"ООО ""ИНТЕЛЛЕБОКС""",2310232380
"ООО ""КЛЕРК.ТЕХНОЛОГИИ""",2310234468
"ООО ""МЕДРОКЕТ""",2311144947
"ООО ""ИТМ""",2311168514
"ООО ""АЛАИЧЪ И КО""",2311186922
"ООО ""АЙТИ МОНИТОРИНГ""",2311187588
"ООО ""АРТ""",2311220370
"ООО ""ИНТЕГРАЛ АЙТИ""",2311234319
"ООО ""АТИСС""",2311236806
"ООО ""ДЮНА""",2311243031
"ООО ""ГК БИЗНЕСПРОФИ""",2311249315
"ООО ""АТИСС-С""",2311293378
"ООО ""НФ СОФТ""",2311303019
"ООО ""МИТ АП""",2311327877
"ООО ""АСК-ПРОФ""",2311328454
"ООО ""АТИСС-АЙТИ""",2311338519
"ООО ""АА ТЕХНОЛОГИИ""",2311340660
"ООО ""КОДЕКС""",2311344939
"ООО ""ГЛОБАЛ-СОФТ""",2312090300
"ООО ""ОБСИДИАН""",2312145189
"ООО ""ВИНТЕО""",2312200249
"ООО ""ИНТЕЛВЭЙ""",2312227459
"ООО ""АРКИС""",2312271426
"ООО ""ДИДЖИТАЛ СЕКТОР ПОДДЕРЖКА""",2312277308
"ООО ""КИБЕРЛАБ""",2312306855
"ООО ""ВИРТУАЛЬНЫЙ ОФИС""",2312308186
"ООО ""ИНОЕ.ТЕХ""",2312309895
"ООО ""БИЗНЕС ГИД""",2312321677
"ООО ""ИТС""",2312322649
"ООО ""ИТМ""",2319037506
"ООО ""АЛЬФА-СОФТ ПРОГРАММЫ И СОПРОВОЖДЕНИЕ""",2320252635
"ООО ""ИНФО-АПГРЕЙД""",2320252931
"ООО ""А-СОФТ""",2328017390
"ООО ""КТ""",2330030864
"ООО ""КОНСУЛЬТАНТ""",2362001104
"ООО ""ДНК РОСТА""",2365032580
"ООО ""АНТАРЕС СИСТЕМС""",2365033834
"ООО ""101""",2366028700
"ООО ""НОВЫЕ ТЕХНОЛОГИИ""",2366034615
"ООО ""КСОФТ""",2366035707
"ООО ""АБП""",2366047967
"ООО ""ГАЙД ГОУ""",2367012861
"ООО ""БФС ИННОТЕХ""",2367016150
"ООО ""АЙТИФОКС""",2367016947
"ООО ""МАНТЕРА ДИДЖИТАЛ""",2367017588
"ООО ""ДИСКАВЕРИ ЛАБС""",2367024803
"ООО ""ВЫСОКИЕ ЦИФРОВЫЕ ТЕХНОЛОГИИ""",2367027900
"ООО ""НОТА СЕРВИС""",2367031550
"ООО ""БУКИНГ ТЕХНОЛОГИИ""",2367032530
"ООО ""ЛАЙФСТАЙЛ ТЕХНОЛОГИИ»",2367032561
"ООО ""КОДИНФОРМ""",2367036710
"ООО ""ЛЮДИ-АГРО""",2373021952
"ООО ""ЭН+ ДИДЖИТАЛ""",2446031899
"ООО ""СПОРТИВНЫЕ ТЕХНОЛОГИИ""",2452047640
"ООО ""СЭЛЗ""",2458009954
"ООО ""КРАСЦВЕТМЕТ. ИТ""",2458016091
"ООО ""ТОРИНС""",2460044794
"ООО ""БИБИНЕТ СОФТ""",2460068636
"ООО ""СОБИЗ КОНСАЛТ""",2460099955
"ООО ""АТЛАНТ""",2460121216
"ООО ""СИБИРСКИЕ ИНТЕГРАЦИОННЫЕ СИСТЕМЫ""",2460209774
"ООО ""ОЧЕНЬ ИНТЕРЕСНО""",2460227734
"ООО ""ТЕХСОФТ""",2461045857
"ООО ""АБК-ПРОЕКТЫ""",2462074201
"ООО ""АПОГЕЙ-БК""",2462212370
"ООО ""ИНФОТЕХ""",2463040452
"ООО ""ТЕХНОЛОГИИ ОРИОН""",2463101289
"ООО ""БЮДЖЕТПЛЮС""",2463108936
"ООО ""ТД ДОМАВТОМАТИКА""",2463114249
"ООО ""ПК ""ДЕЛЬТА""",2463120838
"ООО ""ИНРЕАЛ""",2463121905
"ООО ""АЛМА""",2463128837
"ООО ""СПА""",2463222075
"ООО ""ФИНЕЙТИВ""",2463230816
"ООО ""АР ДИ САЙНС""",2463251220
"ООО ""ИНФОРМСИСТЕМ&К""",2464105328
"ООО ""ЗОТА СИСТЕМС",2464136527
"ООО ""ФАБРИКА РЕШЕНИЙ""",2464144013
"ООО ""БЕЛЛИНИ ИТ СИСТЕМС""",2464158922
"ООО ""ИТ-ЛЕВЕЛ""",2464160248
"ООО ""СПЕЦИАЛИСТ ИТ""",2464165197
"ООО ""ВАШ КИПИАЙ""",2464259261
"ООО ""АЙГЕО""",2464262634
"ООО ""ДМД""",2465094566
"ООО "" БАЗИС-МОНОЛИТ """,2465111839
"ООО ""СКАЙВЕБ24""",2465121273
"ООО ""ИТ ДЖЕТ""",2465121509
"ООО ""АЛЁНКА КАПИТАЛ""",2465125454
"ООО ""ЕДИНЫЙ ЦЕНТР ИНВЕСТ""",2465145980
"ООО ""АЛГОРИТМ""",2465149857
"ООО ""НАВИКЕЙ""",2465185855
"ООО ""РИДЖЕНТ""",2465227343
"ООО ""ОБЪЕДИНЕННЫЕ ПРОГРАММНЫЕ РЕШЕНИЯ""",2465234090
"ООО ""2КБ""",2465244525
"ООО ""МИРАСОФТ""",2465252540
"ООО ""КИАСОФТ""",2465256658
"ООО ""ИТИС""",2465304774
"ООО ""МАКСБОНУС""",2465324298
"ООО ""ГАРАНТ""",2465331697
"ООО ""КОНВИН""",2465346693
"ООО ""АЙТИСФЕРА""",2465347947
"ООО ""КРУГОЗОР-ВИ""",2466082764
КГБУЗ ККМИАЦ,2466098147
"ООО ""МОБИЛФОН""",2466122079
"ООО ИЦ ""ИСКРА""",2466123347
"ООО ""СВЯЗЬКОМ""",2466127239
"ООО ""АБС""",2466134557
"ООО ""АРЭМСИ 24""",2466158759
"ООО ""РАЗВИТИЕ БИЗНЕСА""",2466177046
"ООО ""СИСТЕМАТИКС""",2466220904
"ООО ""МОНИТОР""",2466233702
"ООО ""АУКЦИОН 24АУ.РУ""",2466265905
"ООО ""ОРИОН СОФТ ПРОДАКШН""",2466296847
"ООО ""МОЗГ-АНАЛИТИКА""",2502061956
"ООО ""ЮНИТ""",2502070291
"ООО ""АДВИЗ""",2502076688
"ООО ""НОВАЦРМ""",2511123711
"ООО ""АМАЯМА АВТО""",2536125566
"ООО ""АРСЕНАЛ МЕДИА""",2536154341
"ООО ""ЮМАНС-ВЦ""",2536235230
"ООО ""ВЛ-АВТОМАТИЗАЦИЯ""",2536276460
"ООО ""АВТО АССИСТ""",2536285785
"ООО ""МОЙ ФИШ ПЛЭЙС""",2536338363
"ООО ""ТУДИЛАБ""",2537144032
"ООО ""АЙТЕРРА""",2538072768
"ООО ""ЛИТИК""",2538079033
"ООО ""ВЛАДЛИНК""",2538131438
"ООО ""СОФУС""",2539059551
"АО ""ВОСТОК АЙТИ СЕРВИС""",2539101965
"ООО ""МОДУС""",2540134394
"ООО ""ФАРПОСТ ИТ""",2540136225
"ООО ""Ю ИКС КРИЭЙТ""",2540137123
"ООО ""РАКЕТА""",2540137892
"ООО ""ДУБЛЬГИС-ВЛАДИВОСТОК""",2540160242
"ООО ""КАМА""",2540168481
"ООО ""ФОРЕСТ""",2540200713
"ООО ""РАЗВИТИЕ 2000 ДИДЖИТАЛ""",2540234504
"ООО ""РОБИС""",2540235272
"ООО ""ДВИП""",2540249980
"ООО ""СКС""",2540256410
"ООО ""ИННОФАРМ-ДВ""",2540258400
"ООО ""ПРОФИТЕКС""",2540259001
"ООО ""БЕЗОПАСНЫЙ ХОСТИНГ""",2540260039
"ООО ""АПОГЕЙ ВЛД""",2540260568
"ООО ""ШВАЧЕР""",2540278741
"ООО ""СОВРЕМЕННЫЕ ИНФОРМАЦИОННЫЕ ТЕХНОЛОГИИ""",2543028806
"ООО ""ДАТА СОФТ""",2543093234
"ООО ""ИЗЗИ БОТ""",2543131401
"ООО ""ДНС ТЕХНОЛОГИИ""",2543151084
"ООО ""ИТ ВОКС""",2543170062
"ООО ""ДНС АЛЬФА""",2543170182
"ООО ""КВАНТ ИТ""",2543170351
"ООО ""БИТДВ""",2543182389
"ООО НПО ""МЕТАРЕКС""",2608011560
"ООО ""СОФТСЕРВИС-КМВ""",2626030870
"ООО ""КОРПОРАЦИЯ ""ЛИП""",2626044713
"ООО ""ЦЕНТР АВТОМАТИЗАЦИИ УЧЕТА""",2626051781
"ООО ""КОНСУЛЬТАНТПЛЮС-КМВ""",2626804474
"ООО ""СКАУТ""",2631032921
"ООО ""ИТ СФЕРА""",2631802024
"АО ""МОНИТОР ЭЛЕКТРИК""",2632068663
"ООО ""РАЙТ ПЕРСЕПШН""",2632115070
"ООО ""ИТ-ОВЕРОН""",2632120828
"ООО ""СГУ-ИНФОКОМ""",2634087502
"ООО ""НЕОЛАНТ СЕРВИС""",2634098991
"ООО ""КРАФТКОД""",2634104275
"ООО ""ЭНЕРГОМЕРА СОФТ""",2634110871
"ООО ""ПОЛЕСЕТЬ""",2634110952
"ООО ""МЕДИЦИНА ИТ""",2634801205
"ООО ""СГУ ИТ-СЕРВИС""",2634803121
"ООО ""СТИЛСОФТ""",2634806725
"ООО ""АЛГОРИТМ-С""",2635050456
"ООО ""КОНСУЛЬТАНТПЛЮС-СК""",2635095464
"ООО ""КОНСУЛЬТАНТПЛЮС-СТАВРОПОЛЬЕ""",2635120752
"ООО ""БЮРО КИС""",2635130013
"ООО ""РБ""",2635208693
"ООО ""ЮНИТИКС""",2635219960
"ООО ""СОФИТ""",2635234020
"ООО ""ИНТЕГРА-ИТ""",2635243144
"ООО ""АВТОТРЕКЕР""",2635245712
"ООО ""ЧАТАПП""",2635251064
"ООО ""МЕДИЦИНА ИТ-ПОДДЕРЖКА""",2635251258
"ООО ""1-ВЕБ""",2635255407
"ООО ""ММ7""",2635258535
"ООО ""КОНТРОЛВЭБ""",2635804544
"ООО ""ИНФОКОМ-С""",2635811319
"ООО ""МАССПРОЕКТ""",2635827816
"ООО ""АТОМ""",2636211314
"ООО ""СТАТУС АГРО""",2636214763
"ООО ""ДВ РЕШЕНИЯ""",2700012816
"ООО ""ИТ СОВА""",2700020905
"ООО ""ТС ДИДЖИТАЛ""",2700022211
"ООО ""КУТНИЙ.РУ""",2700031738
"ООО ""АНИТ""",2721099938
"ООО ""АЙТИ-Р""",2721156632
"ООО ""РСТ-АЙТИ""",2721234270
"ООО ""ИНКОД""",2721251251
"ООО ""УАЙТ СОФТ""",2722123870
"ООО ""4А""",2722127095
"ООО ""КИНТЕК""",2722134800
"ООО ""ДАЛЬНЕВОСТОЧНЫЙ ПРОЕКТНЫЙ ЦЕНТР""",2723198363
"ООО ""КМП ТЕХНОЛОГИЯ""",2723212466
"ООО ""ДЛК ПРОЕКТ""",2723216750
"ООО ""НПТИ""",2724108997
"ООО ""ГАРАНТИЯ""",2724148118
"ООО ""ИНФОДЕВ""",2724192195
"ООО ""АЙПИТОН""",2724219506
"ООО ""ДАЛЬСОФТ-ФРАНЧАЙЗИ""",2724232063
"ООО ""АЙТИ-ЛОГИКА""",2724251034
"ООО ""ФИРМА ""ДОМ""",2801071568
"ООО ""КРИПТА""",2801091620
"ООО ""ФИРМА  ЮНИКС""",2801114532
"ООО ""ИТЕРИЯ""",2801117903
"ООО ""ГПС""",2801142346
"ООО ""ДУБЛЬГИС-БЛАГОВЕЩЕНСК""",2801164251
"ООО ""АЛКОСОФТТРЕЙД""",2801270813
"ООО ""ИНТЕЛЛЕКТУАЛЬНЫЕ СИСТЕМЫ""",2801277294
"ООО ""ДАРК СТУДИО""",2807006205
"ООО ""БИ ДЖИ ЭР СОЛЮШЕНС""",2808112301
"АО ""АРБИС""",2901109550
"ООО ""ИНТЕРФЕЙС А""",2901192460
"ООО ""ЛАБОРАТОРИЯ ОПТИМИЗАЦИИ БИЗНЕСА""",2901265239
"ООО ""ТЕХНОЛОГИИ ЭНЕРГОУЧЕТА""",2901266553
"ООО ""ТАРГЕТ ПЛЮС""",2901292779
"ООО ""ТИ ЭКС КОНСАЛТИНГ""",2901296413
"ООО ""ПРИОРИТЕТ""",2901298805
"ООО ""ПАССВОРК""",2901311774
"ООО ""САЙТИ""",2901318748
"ООО ""ПРОФИТ-СИСТЕМЫ""",2902054760
"ООО  ""АЙТИ-РЕШЕНИЯ""",2902079355
"ООО ""ФИНТЕХ СОЛЮШЕНС""",2902083979
"ООО ""ФИНТЕХ РЕШЕНИЯ""",2902084186
"ООО ""КБН""",2902090888
"ООО ""М-АЙТИ  НАО""",2983008416
"ООО ""АЙТИ ПЛЮС""",3000009930
"ООО ""РЕТРАТЭК""",3015062799
"ООО ""НДИАГНОСТИК""",3015111580
"ООО ""ДЕЛИТЕК""",3015111929
"ООО ""ЭСМОУШН""",3015119491
"ООО  ""БЕСТ ПЛЮС""",3016039866
"ООО ""ПКФ ""БЕСТ СОФТ""",3017033289
"ООО ""АГЕНТ ПЛЮС""",3017039795
"ООО ""АДЕПТИК ПЛЮС""",3017062650
"ООО ""ПРОГРЕСС ТИМ""",3019026760
"ООО ""ШЕРПА РОБОТИКС""",3019027499
"ООО ""ОПТИМАЛЬНАЯ ЛОГИСТИКА""",3019027570
"ООО ""МЕС-ТЕХНОЛОГИИ""",3025030073
"ООО ""МИРАТОРГ-ТЕХНОЛОГИИ""",3100010174
"ООО ""ЭНДЖИСОФТ""",3100010833
"ООО ""ЛУКИТУ""",3100012140
"ООО ""БФТ-ЦИФРОВЫЕ СЕРВИСЫ""",3100013552
"ООО ""РОСТ ИКС ИНЖИНИРИНГ""",3100023913
"ООО ""СИМАРТЕК""",3100031400
"ООО ""ТЕЛЕМАТИКА""",3102015876
"ООО ""АКЦЕНТ""",3103003182
"ООО ""ЦПС""",3123055260
"ООО ""СВЯЗЬ-СЕРВИС-СЕТИ""",3123074008
"ООО ""САЙНЕР""",3123079038
"ООО ""СОФТ-ЮНИОН""",3123082094
"ООО ""ИВТБЕЛГУ""",3123090641
"ООО ""СОФТРАСТ""",3123117283
"ООО ""ПАРУСНИК-БЕЛГОРОД""",3123125291
"ООО ""СТ-ДЕНТ""",3123129169
"ООО ""РОЛЛЕРСОФТ""",3123131150
"ООО ""М 207 СОФТ""",3123148348
"ООО ""ИТС""",3123157670
"ООО ""БИГ""",3123160828
"ООО ""СИСТЕМЫ ПРОМЫШЛЕННОЙ АВТОМАТИЗАЦИИ""",3123166153
"ООО ""ТЕХНОЛОГИИ НАДЕЖНОСТИ""",3123206913
"ООО ""ЭКСПЕРТ ЧОЙС СИАЙЭС""",3123212787
"ООО ""МЕДИА СЕРВИС""",3123287655
"ООО ""Е-РП""",3123301331
"ООО ""ЦИФРОВОЙ ВЫБОР""",3123330251
"ООО ""АВМ-ТЕХНОЛОГИЯ""",3123339712
"ООО ""ЭКСПЕРТКОМ""",3123339737
"ООО ""МОТИВЭА""",3123356210
"ООО ""ИНТЕГРЕЙТ""",3123356877
"ООО ""БРИС""",3123359268
"ООО ""ИТ-ФАКТОРИЯ""",3123371603
"ООО ""ИМИДЖ КОНСАЛТ""",3123388773
"ООО ""ЛАБОРАТОРИИ ИНФОРМАЦИОННЫХ ТЕХНОЛОГИЙ""",3123391991
"ООО ""ПИРС""",3123397619
"ООО ""ТРИНИТИ СОФТ""",3123403990
"ООО ""ДЖУС ДЕВЕЛОПМЕНТ""",3123404506
"ООО ""ПРИКЛАДНЫЕ РЕШЕНИЯ""",3123419157
"ООО ""АГРО-ИТ""",3123429645
"ООО ""КБ КВАНТА""",3123433472
"ООО ""НДВОРЛД""",3123446707
"ООО ""ИНФОСОФТ""",3123446810
"ООО ""ГЕЙН АП""",3123455490
"ООО ""ПЯТЫЙ ЭЛЕМЕНТ""",3123457353
"ООО ""ЭНТЕРСОФТ""",3123463163
"ООО ""РЕДСИТИ""",3123464664
"ООО ""ФОРБАН""",3123471630
"ООО ""ГАЙД ПАРК""",3123474006
"ООО ""БФТ-РАЗРАБОТКА""",3123475761
"ООО ""МОБИЛАЙФ""",3123486932
"ООО ""ЭВМ-СЕРВИС""",3128113878
"ООО ""ИТ ЦЕНТР""",3128127060
"ООО ""СПЕКТР""",3128152740
"ООО ""СОФТ-АЙТИ""",3200000275
"ООО ""ПОСТАВЛЕНО СОФТ""",3200001631
"ООО ""М-ТЕХ""",3200002586
"ООО ""АЙТИСИТИ""",3200003036
"ООО ""ТЕХНОМОЛ""",3200003580
"ООО ""ПРОСКИЛЛ""",3200004470
"ООО ""МАЙНД СИСТЕМС""",3200005322
"ООО ""ЭРГО ПРОМО""",3200005731
"ООО ""МАКСИМУМ ВЕБ""",3233502746
"ООО ""ВЕРНОЕ РЕШЕНИЕ""",3234032194
"ООО ""ВИСТ-СОФТ""",3234051655
"ООО ""ОПТИКЭНЕРГОСТРОЙ""",3245516366
"ООО ""ОФТ""",3250061026
"ООО ""МАРКЕТСОФТ""",3250064556
"ООО ""ТЕХЭКСПЕРТ""",3250519080
"ООО ""ВЕБ-ЦЕНТР""",3254006851
"ООО ""АЙ ТИ СЕРВИС""",3255049569
"ООО ""М-СОШАЛ""",3255518556
"ООО ""ТОП""",3257007437
"ООО ""БОТХЕЛП""",3257037015
"ООО ""ИТ""",3257037216
"ООО ""БИВЭЙВ""",3257056096
"ООО ""ЕНИСЕЙ-1""",3257063350
"ООО ""ПЕНА ПРОДАКШН""",3257064202
"ООО ""ДЕМЕТРА""",3257072186
"ООО ""СМГС""",3257075726
"ООО ""АЙТИ ПРО""",3257075758
"ООО ""СМАРТ МС""",3257077530
"ООО ""АИМ""",3257077650
"ООО ""СОФТСОЛ""",3257081945
"ООО ""КИТЭК СИСТЕМ""",3257082201
"ООО ""КВАНДО ТЕХНОЛОДЖИС""",3257082339
"ООО ""ФИНТЕХ-ЛИДЕР""",3257082836
"ООО ""АЙТИ СФЕРА""",3257084946
"ООО ""ТРИА-ДИДЖИТАЛ""",3300001307
"ООО ""ОЙ-ТИ""",3301037634
"ООО ""ЭЛО""",3304019231
"ООО ""АТЛАНТА""",3305006027
"ООО ""42""",3305792170
"ООО ""КОНСАЛТИНГ""",3313028842
"ООО ""ЭПИЦЕНТР""",3317010250
"ООО ""АСКОНА-ТЕХ""",3317027590
"ООО ""ГОЛДЕН СТУДИО""",3326008025
"ООО ""ОПТИМА""",3327108583
"ООО ""АИСТСОФТ""",3327121697
"ООО ""ОРГАНИЗАЦИЯ КАЧЕСТВА""",3327135890
"ООО ""ПУЛЬСАР+""",3327138612
"ООО ""ОНЛАЙН ДАТА""",3327143309
"ООО ""ФОРТИС""",3327852961
"ООО ""ВЕБ ИЗИ""",3328015130
"ООО ""КУЛ""",3328023036
"ООО ""КРП СИСТЕМЫ""",3328025763
"ООО ""АБИ ЦИФРОВЫЕ ТЕХНОЛОГИИ""",3328028860
"ООО ""АНТ""",3328029077
"ООО ФИРМА ""ИНРЭКО ЛАН""",3328404271
"ООО ""ЭЛРОС""",3328484929
"ООО ""ТАРДИС""",3328489317
"ООО ""АЙТИМ""",3328491355
"ООО ""СИСТЕМНЫЙ ПОДХОД""",3328496152
"ООО ""АДАПТА""",3329051332
"ООО ""ДЕВПАРК""",3329054887
"ООО ""НАРИ""",3329054936
"ООО ""БИГ ДАТА""",3329095308
"ООО ""ДС""",3329096372
"ООО ""ХОКИНГ ПРОДАКШН""",3329098612
"ООО ""ПРОМЫШЛЕННАЯ АВТОМАТИЗАЦИЯ""",3332000659
"ООО ""ИЦ""",3435037509
"ООО ""СЕРВИС ПЛЮС""",3435082879
"ООО ""ЭДКОМПЛИТ""",3435112837
"ООО ""ЮПЦ""",3435117419
"ООО ""34ВЕБ""",3435126389
"ООО ""ПЛАТФОРМА ИТ""",3435143553
"ООО ""АВИКО ВЦ""",3441030117
"ООО ""ВОЛГАБЛОБ""",3442090398
"ООО ""АЙТИНЕНТ""",3442097499
"ООО ""СИНГУЛЯРИС ЛАБ""",3442102692
"ООО ""КОПАК-ИТ""",3443103628
"ООО ""СОЦИАЛЬНЫЕ ТЕХНОЛОГИИ""",3443115197
"АО ""ЦЦТ""",3443147343
"ООО ""ИКТ-СЕРВИС""",3443931131
"ООО ""АВК-СИСТЕМА""",3444137411
"ООО ""ОФИЭЛЬ""",3444165850
"ООО ""ВБ ЛАБ""",3444202124
"ООО ""СОВЕТНИКПРОФ""",3444215370
"ООО ""КОМПАС ПРО""",3444258991
"ООО ""КЕФИР""",3444277754
"ООО ""СИСТЕМА ГАРАНТ""",3444279166
"ООО ""МОНОДИДЖИТАЛ""",3444279303
"ООО ""ТУРИСТИЧЕСКИЕ ИННОВАЦИИ""",3444279487
"ООО ВЦ ""АЙЛАНТ""",3445060698
"ООО ""ИНТЕРНЕТ-АГЕНТСТВО ИНТЕРВОЛГА""",3445103528
"ООО ""СИНЕРГИЯ""",3445119239
"ООО ""ОТКРЫТЫЕ СИСТЕМЫ""",3446031820
"ООО  ""ИНТЕРНЕТ-АГЕНТСТВО ВОЛГОРЕЙТ""",3447028435
"ООО ""ПИАР-ВОЛГА""",3447032858
"ООО ""БЛАГОСОФТ""",3453007472
"ООО ""ТЕКНО ЮГ""",3459002417
"ООО ""КОНСАЛТИНГ-ВОЛГА""",3459007126
"ООО ""СТЕРЕОТЕК""",3459068062
"ООО ""КОВЧЕГ""",3459086590
"ООО ""МОДЕСКО""",3460077551
"ООО ""ЛОГЕМА""",3460081999
"ООО ""ТЕЛЕМЕТР""",3460085947
"ООО ""НАНО СОФТ""",3500005965
"ООО ""АРТОЛ""",3525086412
"ООО ""АСКО""",3525224648
"ООО ""НАВИГАЦИОННЫЕ РЕШЕНИЯ""",3525270838
"ООО ""КОНСУЛЬТАНТОВО""",3525279929
"ООО ""МАВИСМАРТ""",3525337803
"ООО ""СИНАПСИС""",3525357535
"ООО ""ЦЕНТРОТРЕЙД""",3525369386
"ООО ""ПИЦЦАСОФТ""",3525380284
"АО ""АЛЬТ1""",3525382034
"ООО ""ВЭБ-СКУЛ""",3525479357
"ООО ""МАКСИ ИННОВАЦИИ""",3525480151
"ООО ""ТЕЛЕМЕДХАБ""",3525481518
"ООО ""БИНОМ""",3525483314
"АО ""СЕВЕРСТАЛЬ-ИНФОКОМ""",3528007105
"ООО ""ЭЛЬ ИНТЕГРО""",3528117877
"ООО ""ПЕГАС""",3528119296
"ООО ""КРИПТОН""",3528129576
"ООО ""МАЛЛЕНОМ СИСТЕМС""",3528176030
"ООО ""ЛОГАСОФТ ПЛЮС""",3528188081
"ООО ""СЕВЕРНЫЕ ИНТЕЛЛЕКТУАЛЬНЫЕ РЕШЕНИЯ""",3528207217
"ООО ""ПРОФИ""",3528213644
"ООО ""СИНАПС""",3528215433
"ООО ""ВЭБЕСТ""",3528217800
"ООО ""СЕВЕРОТЕК""",3528237363
"ООО ""ОМЕГА СТУДИО""",3528327105
"ООО ""МИКРОИМПУЛЬС""",3528338354
"ООО ""КОНЦЕПТ АЙТИ""",3625017564
"ООО ""САУСБРИДЖ""",3652900793
"ООО ""САФИБ""",3661031853
"ООО ""ДЕЛОВОЕ ПРОГРАММНОЕ ОБЕСПЕЧЕНИЕ""",3661034653
"ООО ""ПИР""",3661054755
"ООО ""КУБИТ""",3661179730
"ООО ""СДЦ""",3662117140
"ООО ""ИНТЕРНЕТ-ПАРТНЕР""",3662129890
"ООО ""АЙТИ КОМФОРТ""",3662153572
"ООО ""ВЕБФЛАЙ""",3662162464
"ООО ""АДМ-СЕРВИС""",3662171187
"ООО ""АРСТРОН""",3662171250
"ООО ГРУППА КОМПАНИЙ ""ДАКОР""",3662189314
"ООО ""КОНЦЕПТ""",3662206270
"ООО ""НУМЕДИ""",3662222219
"ООО ""ТЕКСТ МЕДИА""",3662229020
"ООО ""БИЗНЕС РЕСУРСЫ""",3662240828
"ООО ""ВЦ 1С-РАРУС ВОРОНЕЖ""",3662248591
"ООО ""САБ""",3662253016
"ООО ""ИНТЕЛИТ""",3662266086
"ООО ""БУХ ИТ-СЕРВИС""",3662275820
"ООО ""К2-9Б ГРУПП""",3662288650
"ООО ""ДЕВЕЛОПЕРС""",3662292294
"ООО ""ВЕБТРИ""",3662298200
"ООО ""ОМ СОФТ""",3662300474
"ООО ""ИКА-СОФТ""",3662300876
"ООО ""АНТ-ХИЛЛ""",3662301767
"ООО ""ИТ БУСТ""",3662301855
"ООО ""АГРОЭКО-ИТ""",3662302104
"ООО ""АМУЛЕТ-С""",3662302993
"ООО ""КНГ-АВТОМАТИЗАЦИЯ""",3662303330
"ООО ""АРВИТ""",3662303926
"ООО ""КОДИКА""",3662304038
"ООО ""ГИК СТЕК""",3662304334
"ООО ""ИТР""",3662308025
"ООО ""ТЕХНОСТАР""",3662309290
"ООО ""КОНТУР""ВОРОНЕЖ""",3662987803
"ООО ""МИГ""",3662991302
"ООО ""МОСТ-ИНФОРМ""",3663106906
"ООО ""РЕД КОЛЛАР""",3663116703
"ООО ""АЛЬФА-КОНСАЛТ""",3663128762
